category,title,story,url
Business,Drought hits cotton yield,"THE country’s largest cotton producing company, Cotton Company of Zimbabwe (Cottco), says this year’s yield is expected to plummet by 30 percent…",https://dailynews.co.zw/drought-hits-cotton-yield/
Business,Treasury lures SA investors to VFEX,FINANCE minister Mthuli Ncube has extended an invitation to investors in South Africa to maximise on abundant opportunities in the Victoria Falls…,https://dailynews.co.zw/treasury-lures-sa-investors-to-vfex/
Business,"Kavango finalises sale, purchase agreements for Zim projects","LONDON-BASED Kavango Resources Plc (Kavango) says it has finalised sale and purchase agreements for its exploration projects in Matabeleland province, Hillside and…",https://dailynews.co.zw/kavango-finalises-sale-purchase-agreements-for-zim-projects/
Business,Delta Corporation in drug abuse fight,DELTA Corporation has embarked on a smart drinking and moderation innovation campaign aimed at solving the challenge of drugs and substance abuse…,https://dailynews.co.zw/delta-corporation-in-drug-abuse-fight/
Business,Econet opens first free remittance corridors to Zimbabwe,"ZIMBABWE’S largest telecommunications and technology company, Econet Wireless, has achieved an Africa first by opening two free remittance corridors into the country,…",https://dailynews.co.zw/econet-opens-first-free-remittance-corridors-to-zimbabwe/
Business,Metbank embarks on digital drive,"ONE of the country`s leading commercial banks, Metbank, says it is embarking on innovation and digitalisation drive to offer unique service to…",https://dailynews.co.zw/metbank-embarks-on-digital-drive/
Business,Tobacco prices improve despite drought.,"THIS year’s tobacco prices improved as compared to last season, despite a decline in tobacco deliveries on account of the El Nino…",https://dailynews.co.zw/tobacco-prices-improve-despite-drought/
Business,Zimplow Holdings withstands tough times,"DIVERSIFIED equipment maker and distributor, Zimplow Holdings, yesterday said it has managed to overcome the country’s challenging economic hardships by employing strategies…",https://dailynews.co.zw/zimplow-holdings-withstands-tough-times/
Business,Top Dubai-based business coach to speak at conference,"A TOP Dubai-based executive with over 30 years of global expertise in business operations, strategy, leadership, and business development will be one…",https://dailynews.co.zw/top-dubai-based-business-coach-to-speak-at-conference/
Business,NetOne wins gold at ZITF 2024,"Telecoms giant, NetOne Cellular was voted the Best Exhibition in the ICT sector at this  year’s edition of the Zimbabwe International Trade…",https://dailynews.co.zw/netone-wins-gold-at-zitf-2024/
Business,Businesses warned over illegal billboards,"THE government has issued a warning against businesses over illegal erection of billboards along the country’s highways, saying they are blurring road…",https://dailynews.co.zw/businesses-warned-over-illegal-billboards/
Business,Government warns businesses over import licences,BY MASIMBA MAKWEMBERE THE government has warned the business community against circumventing due processes by using unscrupulous dealers to obtain import licences….,https://dailynews.co.zw/government-warns-businesses-over-import-licences/
Business,‘Continue nailing money changers’. . . both consumers and business urge authorities,"AHEAD of today’s introduction into the market of the notes and coins for the country’s new currency, consumers and businesses want authorities…",https://dailynews.co.zw/continue-nailing-money-changers-both-consumers-and-business-urge-authorities/
Business,Top Dubai-based business coach to speak at conference,"A TOP Dubai-based executive with over 30 years of global expertise in business operations, strategy, leadership, and business development will be one…",https://dailynews.co.zw/top-dubai-based-business-coach-to-speak-at-conference/
Business,"Business, consumers push for early introduction of ZiG notes, coins","STAKEHOLDERS yesterday appealed to the Reserve Bank of Zimbabwe to move forward the release of notes and coins of the new currency,…",https://dailynews.co.zw/business-consumers-push-for-early-introduction-of-zig-notes-coins/
Business,Top Indian businessman willing to invest in Zimbabwe,A TOP Indian entrepreneur Gaurav Ralhan says he will jump at the chance to invest in Zimbabwe if opportunities with compelling value…,https://dailynews.co.zw/top-indian-businessman-willing-to-invest-in-zimbabwe/
Business,New currency measures relieve local businesses,THE Reserve Bank of Zimbabwe (RBZ) says the challenges encountered by formal business operators regarding the statutory 10 percent trading margin on…,https://dailynews.co.zw/new-currency-measures-relieve-local-businesses/
Business,Community service for businessman,"A HARARE magistrate has convicted businessman Francesco Marconati and his son, Alessandro, on charges of disorderly conduct. Marconati, who is the director…",https://dailynews.co.zw/community-service-for-businessman/
Business,Failed business deal turns nasty,AN AGREEMENT between two men to purchase two fuel tankers from Turkey ended badly after one of them was later accused of…,https://dailynews.co.zw/failed-business-deal-turns-nasty/
Business,Businessman Muduvuri constructs clinics for war vets,By Brandon Josphat josphatbl@dailynews.co.zw KADOMA businessman Jimayi Muduvuri has embarked on an ambitious national project that will see the construction of clinics…,https://dailynews.co.zw/businessman-muduvuri-constructs-clinics-for-war-vets/
Business,Trial for businessman accused of theft of trust property deferred,"BUSINESSMAN Ronald Nyandoro’s trial has been deferred to April 10, following indications that his lawyer Admire Rubaya is engaged at the High…",https://dailynews.co.zw/trial-for-businessman-accused-of-theft-of-trust-property-deferred/
