category,title,story,url
Business,Drought hits cotton yield,"THE country’s largest cotton producing company, Cotton Company of Zimbabwe (Cottco), says this year’s yield is expected to plummet by 30 percent…",https://dailynews.co.zw/drought-hits-cotton-yield/
Business,Treasury lures SA investors to VFEX,FINANCE minister Mthuli Ncube has extended an invitation to investors in South Africa to maximise on abundant opportunities in the Victoria Falls…,https://dailynews.co.zw/treasury-lures-sa-investors-to-vfex/
Business,"Kavango finalises sale, purchase agreements for Zim projects","LONDON-BASED Kavango Resources Plc (Kavango) says it has finalised sale and purchase agreements for its exploration projects in Matabeleland province, Hillside and…",https://dailynews.co.zw/kavango-finalises-sale-purchase-agreements-for-zim-projects/
Business,Delta Corporation in drug abuse fight,DELTA Corporation has embarked on a smart drinking and moderation innovation campaign aimed at solving the challenge of drugs and substance abuse…,https://dailynews.co.zw/delta-corporation-in-drug-abuse-fight/
Business,Econet opens first free remittance corridors to Zimbabwe,"ZIMBABWE’S largest telecommunications and technology company, Econet Wireless, has achieved an Africa first by opening two free remittance corridors into the country,…",https://dailynews.co.zw/econet-opens-first-free-remittance-corridors-to-zimbabwe/
Business,Metbank embarks on digital drive,"ONE of the country`s leading commercial banks, Metbank, says it is embarking on innovation and digitalisation drive to offer unique service to…",https://dailynews.co.zw/metbank-embarks-on-digital-drive/
Business,Tobacco prices improve despite drought.,"THIS year’s tobacco prices improved as compared to last season, despite a decline in tobacco deliveries on account of the El Nino…",https://dailynews.co.zw/tobacco-prices-improve-despite-drought/
Business,Zimplow Holdings withstands tough times,"DIVERSIFIED equipment maker and distributor, Zimplow Holdings, yesterday said it has managed to overcome the country’s challenging economic hardships by employing strategies…",https://dailynews.co.zw/zimplow-holdings-withstands-tough-times/
Business,Top Dubai-based business coach to speak at conference,"A TOP Dubai-based executive with over 30 years of global expertise in business operations, strategy, leadership, and business development will be one…",https://dailynews.co.zw/top-dubai-based-business-coach-to-speak-at-conference/
Business,NetOne wins gold at ZITF 2024,"Telecoms giant, NetOne Cellular was voted the Best Exhibition in the ICT sector at this  year’s edition of the Zimbabwe International Trade…",https://dailynews.co.zw/netone-wins-gold-at-zitf-2024/
Business,Potraz in Data Protection Act public awareness campaign,THE Postal and Telecommunications Regulatory Authority of Zimbabwe (Potraz) has launched a national blitz to educate the public on the Cyber and…,https://dailynews.co.zw/potraz-in-data-protection-act-public-awareness-campaign/
Business,Potraz to unmask social media abusers,THE Postal and Telecommunications Regulatory Authority of Zimbabwe (Potraz) says it is working on unmasking data protection offenders who abuse social media…,https://dailynews.co.zw/potraz-to-unmask-social-media-abusers/
Business,Stanbic opens more remote branches for tobacco players,STANBIC Bank has opened three new branches in Harare and Karoi as it seeks to provide tobacco stakeholders with banking solutions during…,https://dailynews.co.zw/stanbic-opens-more-remote-branches-for-tobacco-players/
Business,"Praz decentralises,opens new offices in Bulawayo",THE Procurement Regulatory Authority of Zimbabwe (Praz) has decentralised its operations by opening offices in Bulawayo as part of a move to…,https://dailynews.co.zw/praz-decentralisesopens-new-offices-in-bulawayo/
Business,Econet pushes for more technological investment,ECONET Wireless Zimbabwe says it needs to invest in technology to ensure the rural population gets access to 4G networks. Speaking at…,https://dailynews.co.zw/econet-pushes-for-more-technological-investment/
Business,Zimbabwe asks US to inform banks of sanctions relief,"ZIMBABWE has reached out to the United States (US), urging them to remind banks that Washington recently eased some sanctions on the…",https://dailynews.co.zw/zimbabwe-asks-us-to-inform-banks-of-sanctions-relief/
Business,"Business, consumers push for early introduction of ZiG notes, coins","STAKEHOLDERS yesterday appealed to the Reserve Bank of Zimbabwe to move forward the release of notes and coins of the new currency,…",https://dailynews.co.zw/business-consumers-push-for-early-introduction-of-zig-notes-coins/
Business,Zim economy to continue on growth trajectory — IMF,"THE International Monetary Fund (IMF) says Zimbabwe’s economy will grow by 3,2 percent this year and next year despite the impact of…",https://dailynews.co.zw/zim-economy-to-continue-on-growth-trajectory-imf/
Business,HCC cracks whip on illegal building alterations,THE Harare City Council has warned property owners in the central business district (CBD) to immediately stop all illegal alterations to their…,https://dailynews.co.zw/hcc-cracks-whip-on-illegal-building-alterations/
Business,"Government reviewing Old Mutual, PPC trading suspension",GOVERNMENT says it is currently reviewing the share trading suspension of Old Mutual Zimbabwe and PPC Zimbabwe on the Zimbabwe Stock Exchange…,https://dailynews.co.zw/government-reviewing-old-mutual-ppc-trading-suspension/
