category,title,story,url
Business,,"Business Reporter  TREASURY has standardised the intermediated money transfer (IMTT) tax rates on Zimbabwe Gold (ZiG) and US dollar transactions at 2 percent for values up to US$100 or the local currency equivalency. The transaction tax now also applies to transactions for gold-backed digital tokens (GBDTs). A lower rate of US$0,05 per dollar will apply […]",
Business,"Treasury standardises IMTT for ZiG, US dollar","The decision this week by Kenya Airways (KQ) to suspend services to Kinshasa is likely to plunge air transport in the Democratic Republic of Congo into a crisis, and raises the prospect of increased airfare as travellers scramble for the reduced supply of seats. One of only two airlines that provide daily flights between the […]",https://www.herald.co.zw/treasury-standardises-imtt-for-zig-us-dollar/
Business,KA’s exit of DRC route creates shortage of seats,"Golden Sibanda THE Financial Intelligence Unit (FIU), an autonomous arm of the Reserve Bank of Zimbabwe (RBZ), will today meet small and medium-sized retailers and wholesalers to discuss compliance issues relating to the use of Zimbabwe Gold (ZiG) in transacting. This follows the introduction of the new currency early last month, as authorities moved to […]",https://www.herald.co.zw/kas-exit-of-drc-route-creates-shortage-of-seats/
Business,FIU seeks ZiG acceptance by small traders,"Gold edged higher after mixed signals from the US, where optimism is growing the economy is on target for a soft landing as the Federal Reserve fights inflation. The precious metal fell as much as 0,4 percent on Monday before reversing, following its back-to-back weekly loss on Friday.  Investors have been mulling a softer-than-expected US […]",https://www.herald.co.zw/fiu-seeks-zig-acceptance-by-small-traders/
Business,Gold price edges higher on mixed US signals,"Importers of cocoa into Europe are flouting European Union laws by selling beans from deforested African land while mislabelling its origins. A new report lists cocoa merchants as fuelling the felling of trees in Liberia while disguising the beans as originating from neighbouring Cote d’Ivoire. Liberia, one of the countries in Africa still recovering from […]",https://www.herald.co.zw/gold-price-edges-higher-on-mixed-us-signals/
Business,Cocoa from deforested land found in top countries,"Enacy Mapakame Diversified insurance group, Fidelity Life Assurance of Zimbabwe maintained a growth trajectory during the year to December 31, 2023 anchored by organic growth of the existing book as well as the acquisition of new business. Despite a challenging environment experienced during the year, the group also expanded its distribution channels through both traditional […]",https://www.herald.co.zw/cocoa-from-deforested-land-found-in-top-countries/
Business,Fidelity maintains growth momentum,KINSHASA. — The Democratic Republic of the Congo (DRC) has protested alleged fuelling of conflict on its territory by multinationals buying “blood minerals” to fuel the energy and digital transformations. Kinshasa has accused United States smartphone giant Apple of paying for minerals without critically looking at the suppliers. The accusation is not the first by […],https://www.herald.co.zw/fidelity-maintains-growth-momentum/
Business,Kinshasa protests trade in ‘blood minerals’,"Business Reporter Finance, Economic Development and Investment Promotion Minister Professor Mthuli Ncube has called on investors to come up with new financing models to fund the country’s infrastructure development programmes. This would mark a shift from the past reliance on short-term funding, which has been blamed for destabilising the Zimbabwean dollar. Previously, contractors receiving short-term […]",https://www.herald.co.zw/kinshasa-protests-trade-in-blood-minerals/
Business,‘Infrastructure needs new finance models’,"Francis Gakanje Industry and Commerce Minister Mangaliso Ndhlovu has applauded women for their continued efforts to break barriers in the consulting services sector after dominating the number of recently qualified Certified Management Consultant (CMC) graduates. Of the five individuals who received their CMC professional certificates, four were females. Speaking during the CMC certification ceremony convened […]",https://www.herald.co.zw/infrastructure-needs-new-finance-models/
Business,Women keep breaking barriers in consultancy,"Africa is poised to enter into a new era and one thing is sure; the current wave of digitalisation will be the biggest catalyst of an inclusive economic growth.  The African Development Bank’s (AfDB) 2021 white paper on entrepreneurship and free trade, gives a detailed review of the impact of the emergence of business opportunities […]",https://www.herald.co.zw/women-keep-breaking-barriers-in-consultancy/
Business,Digitalisation: A revolution in financial services industry,"Business reporter FBC Holdings Limited subsidiary, Microplan has launched a new mobile application that enables clients to digitally apply for a new loan or top-up existing loans without visiting a physical branch. Accessible through free downloading on Google Play Store, the new product – Microplan App aims to promote financial inclusion by enabling convenient access […]",https://www.herald.co.zw/digitalisation-a-revolution-in-financial-services-industry/
Business,Microplan launches digital loan application platform,"Ethiopian Airlines expects to carry 30 percent more passengers in the year ended June from the year before, its chief executive told Reuters on Wednesday, buoyed by new routes and a rebound in global travel. Africa’s biggest airline, however, faces risks from delayed aircraft deliveries and the grounding of some planes due to engine shortages […]",https://www.herald.co.zw/microplan-launches-digital-loan-application-platform/
Business,Ethiopian Airlines sees 30pc passenger surge in 2024,"Uganda will start importing fuel directly from next month in a deal with Vitol Bahrain which the country hopes will supply cheap petroleum products. Energy and Mineral Resources Minister, Ruth Nankabirwa, told oil marketers in a circular that Uganda National Oil Company’s (Unoc) maiden cargo of super petrol and diesel would arrive between June 18 […]",https://www.herald.co.zw/ethiopian-airlines-sees-30pc-passenger-surge-in-2024/
Business,Kenya monopoly of Uganda oil imports to end,"A gauge measuring South African manufacturing sentiment rebounded to a near two-year high in April, boosted by a full month without power cuts for the first time since January 2022 and improved domestic demand. Absa Group’s purchasing managers’ index, compiled by the Bureau for Economic Research, exited contraction territory and climbed to 54 in April, […]",https://www.herald.co.zw/kenya-monopoly-of-uganda-oil-imports-to-end/
Business,SA factory mood surges to near two-year high,"Nelson Gahadza-Business Reporter Hotelier, Africa Sun says revenue for the year to December 31, 2023, grew by 30 percent to US$54,73 million from US$42,14 million in 2022, largely driven by firmer average daily rates (ADR).",https://www.herald.co.zw/sa-factory-mood-surges-to-near-two-year-high/
Business,,"In our story titled ‘New Premium Golf Course for Harare’, published in The Herald Finance & Business section today, we erroneously referred to the acronym PGA as standing for Parental Guidance Advice when in fact this stands for Professional Golfers’ Association. We would like to apologise for any inconvenience this might have caused. – Business […]",
Business,Matter of Fact,"Herald Correspondent Steward Bank, a subsidiary of Ecocash Holdings, disbursed $2.8 billion to 903 000 individuals and Micro, Small and Medium Enterprises (MSMEs) under its digital micro-credit loan facility, Kashagi, in its 2023 financial year. This represents a 180 percent increase from the previous year figure of $1 billion. Steward Bank, the country’s largest bank […]",https://www.herald.co.zw/matter-of-fact-60/
Business,Steward Bank disburses $2.8 billion Kashagi loans to drive financial inclusion,"Gerrit De Vynck MOUNTAIN VIEW, Calif. — Amid the excited hype about artificial intelligence at Google’s annual developer conference in May, it fell to James Manyika, the company’s new head of “tech and society,” to talk about the downsides of AI. Before thousands of people packed into an outdoor arena, Manyika discussed the scourge of fake images and how […]",https://www.herald.co.zw/steward-bank-disburses-2-8-billion-kashagi-loans-to-drive-financial-inclusion/
Business,Google’s AI ambassador walks a fine line between hype and doom,"Herald Correspondent VAYA Technologies, an EcoCash Holdings Zimbabwe Limited subsidiary, has unveiled a smart solution called Asset Track, which allows businesses and individuals to remotely track their electronic assets. The Internet-of-Things (IoT)-enabled innovative solution is designed to locate, monitor and safeguard valuable equipment, such as laptops, TVs, desktop computers, solar systems and POS terminals in […]",https://www.herald.co.zw/707933-2/
Business,VAYA Technologies unveils electronic assets tracking solution,"Herald Correspondent Econet Wireless Zimbabwe (EWZ), the country’s leading telecommunications and technology company, says it will once again be showcasing its diverse range of digital lifestyle products and services at the Zimbabwe International Trade Fair (ZITF) set to commence in Bulawayo next week. The country’s largest annual trade expo, the ZITF is set to roar […]",https://www.herald.co.zw/vaya-technologies-unveils-electronic-assets-tracking-solution/
