category,title,story,url
Business,,"Business Reporter Finance, Economic Development and Investment Promotion Minister Professor Mthuli Ncube has called on investors to come up with new financing models to fund the country’s infrastructure development programmes. This would mark a shift from the past reliance on short-term funding, which has been blamed for destabilising the Zimbabwean dollar. Previously, contractors receiving short-term […]",
Business,‘Infrastructure needs new finance models’,"Francis Gakanje Industry and Commerce Minister Mangaliso Ndhlovu has applauded women for their continued efforts to break barriers in the consulting services sector after dominating the number of recently qualified Certified Management Consultant (CMC) graduates. Of the five individuals who received their CMC professional certificates, four were females. Speaking during the CMC certification ceremony convened […]",https://www.herald.co.zw/infrastructure-needs-new-finance-models/
Business,Women keep breaking barriers in consultancy,"Africa is poised to enter into a new era and one thing is sure; the current wave of digitalisation will be the biggest catalyst of an inclusive economic growth.  The African Development Bank’s (AfDB) 2021 white paper on entrepreneurship and free trade, gives a detailed review of the impact of the emergence of business opportunities […]",https://www.herald.co.zw/women-keep-breaking-barriers-in-consultancy/
Business,Digitalisation: A revolution in financial services industry,"Business reporter FBC Holdings Limited subsidiary, Microplan has launched a new mobile application that enables clients to digitally apply for a new loan or top-up existing loans without visiting a physical branch. Accessible through free downloading on Google Play Store, the new product – Microplan App aims to promote financial inclusion by enabling convenient access […]",https://www.herald.co.zw/digitalisation-a-revolution-in-financial-services-industry/
Business,Microplan launches digital loan application platform,"Ethiopian Airlines expects to carry 30 percent more passengers in the year ended June from the year before, its chief executive told Reuters on Wednesday, buoyed by new routes and a rebound in global travel. Africa’s biggest airline, however, faces risks from delayed aircraft deliveries and the grounding of some planes due to engine shortages […]",https://www.herald.co.zw/microplan-launches-digital-loan-application-platform/
Business,Ethiopian Airlines sees 30pc passenger surge in 2024,"Uganda will start importing fuel directly from next month in a deal with Vitol Bahrain which the country hopes will supply cheap petroleum products. Energy and Mineral Resources Minister, Ruth Nankabirwa, told oil marketers in a circular that Uganda National Oil Company’s (Unoc) maiden cargo of super petrol and diesel would arrive between June 18 […]",https://www.herald.co.zw/ethiopian-airlines-sees-30pc-passenger-surge-in-2024/
Business,Kenya monopoly of Uganda oil imports to end,"A gauge measuring South African manufacturing sentiment rebounded to a near two-year high in April, boosted by a full month without power cuts for the first time since January 2022 and improved domestic demand. Absa Group’s purchasing managers’ index, compiled by the Bureau for Economic Research, exited contraction territory and climbed to 54 in April, […]",https://www.herald.co.zw/kenya-monopoly-of-uganda-oil-imports-to-end/
Business,SA factory mood surges to near two-year high,"Nelson Gahadza-Business Reporter Hotelier, Africa Sun says revenue for the year to December 31, 2023, grew by 30 percent to US$54,73 million from US$42,14 million in 2022, largely driven by firmer average daily rates (ADR).",https://www.herald.co.zw/sa-factory-mood-surges-to-near-two-year-high/
Business,Africa Sun’s revenue rises 30pc,"Enacy Mapakame Zimbabwe Stock Exchange (ZSE)-listed hospitality group, Rainbow Tourism Group (RTG) projects a stellar earnings performance for the year to September 2024 and going forward, as it leverages regional and international markets.",https://www.herald.co.zw/africa-suns-revenue-rises-30pc/
Business,RTG projects better earnings in FY2024,"Michael Tome Business Reporter LONDON-listed metals exploration company Kavango Resources PLC says it is making strides at its Hillside gold project in Matabeleland South Province, after two shallow discoveries, which have enhanced the potential for an open-pit mine.",https://www.herald.co.zw/rtg-projects-better-earnings-in-fy2024/
Business,UK-listed Kavango sees glitter in Zim gold project,"GoSolr, a company supported by South African mogul Patrice Motsepe and the largest bank on the continent, intends to invest 10 billion rand (US$537 million) in implementing a programme to lease solar panels and batteries to households in the country, which has been plagued with power outages.",https://www.herald.co.zw/uk-listed-kavango-sees-glitter-in-zim-gold-project/
Business,GoSolr wants to solve SA’s electricity crisis,Bitcoin’s tumble is piquing the interest of investors who view pronounced swings in the digital token as a possible precursor for broader changes in risk appetite in global markets.,https://www.herald.co.zw/gosolr-wants-to-solve-sas-electricity-crisis/
Business,Bitcoin slump triggers warning of ‘trouble’,"Last week BHP made a bid for Anglo American minus the South African assets, confirming the widely held perception that SA mining is uninvestible due to bureaucratic ineptitude in the issuing of mining licences, onerous BEE requirements and the disasters at Eskom and logistics provider Transnet.",https://www.herald.co.zw/bitcoin-slump-triggers-warning-of-trouble/
Business,SA’s FDI story better than you may think,"The leaders of numerous African states convened in Nairobi, the capital city of Kenya, to talk about financing for the International Development Association of the World Bank. Discussions on key areas where wealthy nations and their development partners may concentrate on accelerating continental growth were also tabled at the Summit. However, the president of Uganda […]",https://www.herald.co.zw/sas-fdi-story-better-than-you-may-think/
Business,Tough questions for the World Bank from Uganda,"Michael Tome Business Reporter Zimbabweans should embrace the newly introduced local currency, the Zimbabwe Gold (ZiG) to ensure the country does not become a supermarket of the region. This comes as the operationalisation of the Africa Continental Free Trade Area (AfCFTA) gathers momentum. The US dollar is in the basket of currencies used in Zimbabwe […]",https://www.herald.co.zw/tough-questions-for-the-world-bank-from-uganda/
Politics,,"George Maponga–Masvingo Bureau  A lot has been achieved by the Second Republic under President Mnangagwa’s leadership for information to be accessible to Zimbabweans, including those in rural areas, in schools and in various Government departments, Information, Publicity and Broadcasting Services Minister Dr Jenfan Muswere has said.  He was speaking at Chivi Growth Point in Masvingo […]",
Politics,Huge strides achieved in ensuring access to info,"Urbanites benefiting from the Presidential Borehole Scheme will now be connected directly to the boreholes so the water comes through their taps, as President Mnangagwa’s initiative continues to deliver potable water across the country.",https://www.herald.co.zw/huge-strides-achieved-in-ensuring-access-to-info/
Politics,Presidential scheme to connect boreholes directly to homes,"Mukudzei Chingwere-Herald Reporter PARTNERSHIPS with local companies have been approved by Government to upgrade, rehabilitate, widen and construct the 352km Harare-Chirundu Road, the other part of the major North-South Corridor that will see work on the Harare-Masvingo-Beitbridge Highway moving towards conclusion. The project is in line with the Second Republic’s vision of providing state-of-the-art road […]",https://www.herald.co.zw/presidential-scheme-to-connect-boreholes-directly-to-homes/
